status url redirect,status,url,redirect,suggested
Redirected http://cloud1.arc.nasa.gov/aaoe/project/statement.html https://cloud1.arc.nasa.gov/aaoe/project/statement.html,Redirected,http://cloud1.arc.nasa.gov/aaoe/project/statement.html,https://cloud1.arc.nasa.gov/aaoe/project/statement.html,
Redirected http://cloud1.arc.nasa.gov/solve/archiv/archive.tutorial.html https://cloud1.arc.nasa.gov/solve/archiv/archive.tutorial.html,Redirected,http://cloud1.arc.nasa.gov/solve/archiv/archive.tutorial.html,https://cloud1.arc.nasa.gov/solve/archiv/archive.tutorial.html,
Redirected http://mst.nerc.ac.uk https://mst.nerc.ac.uk/,Redirected,http://mst.nerc.ac.uk,https://mst.nerc.ac.uk/,https://amof.ac.uk/observatory/capel-dewi-atmospheric-observatory-cdao/
Redirected http://neodc.nerc.ac.uk https://archive.ceda.ac.uk/,Redirected,http://neodc.nerc.ac.uk,https://archive.ceda.ac.uk/,
Redirected http://ukclimateprojections.metoffice.gov.uk/ https://www.metoffice.gov.uk/research/approach/collaboration/ukcp,Redirected,http://ukclimateprojections.metoffice.gov.uk/,https://www.metoffice.gov.uk/research/approach/collaboration/ukcp,
Redirected http://www.badc.nerc.ac.uk https://archive.ceda.ac.uk/,Redirected,http://www.badc.nerc.ac.uk,https://archive.ceda.ac.uk/,
Redirected http://www.badc.rl.ac.uk https://archive.ceda.ac.uk/,Redirected,http://www.badc.rl.ac.uk,https://archive.ceda.ac.uk/,
Redirected http://www.ceda.ac.uk https://www.ceda.ac.uk/,Redirected,http://www.ceda.ac.uk,https://www.ceda.ac.uk/,
Redirected http://www.ceda.ac.uk/ https://www.ceda.ac.uk/,Redirected,http://www.ceda.ac.uk/,https://www.ceda.ac.uk/,
Redirected http://www.chilbolton.rl.ac.uk https://www.chilbolton.stfc.ac.uk/Pages/home.aspx,Redirected,http://www.chilbolton.rl.ac.uk,https://www.chilbolton.stfc.ac.uk/Pages/home.aspx,
Redirected http://www.clim-past.net/10/1983/2014/ https://cp.copernicus.org/articles/10/1983/2014/,Redirected,http://www.clim-past.net/10/1983/2014/,https://cp.copernicus.org/articles/10/1983/2014/,
Redirected http://www.climateprediction.net https://www.climateprediction.net/,Redirected,http://www.climateprediction.net,https://www.climateprediction.net/,
Redirected http://www.clipc.eu http://www.clipc.eu/,Redirected,http://www.clipc.eu,http://www.clipc.eu/,
Redirected http://www.egu.eu https://www.egu.eu/,Redirected,http://www.egu.eu,https://www.egu.eu/,
Redirected http://www.eumetsat.int https://www.eumetsat.int:443/,Redirected,http://www.eumetsat.int,https://www.eumetsat.int:443/,https://www.eumetsat.int/
Redirected http://www.famous.ac.uk http://www.famous.ac.uk/,Redirected,http://www.famous.ac.uk,http://www.famous.ac.uk/,
Redirected http://www.globsnow.info/index.php?page=Snow_Water_Equivalent https://www.globsnow.info/index.php?page=Snow_Water_Equivalent,Redirected,http://www.globsnow.info/index.php?page=Snow_Water_Equivalent,https://www.globsnow.info/index.php?page=Snow_Water_Equivalent,
Redirected http://www.jasmin.ac.uk https://jasmin.ac.uk/,Redirected,http://www.jasmin.ac.uk,https://jasmin.ac.uk/,
Redirected http://www.jenoptik.com/en_home https://www.jenoptik.com/,Redirected,http://www.jenoptik.com/en_home,https://www.jenoptik.com/,
Redirected http://www.metoffice.gov.uk https://www.metoffice.gov.uk/,Redirected,http://www.metoffice.gov.uk,https://www.metoffice.gov.uk/,
Redirected http://www.metoffice.gov.uk/ https://www.metoffice.gov.uk/,Redirected,http://www.metoffice.gov.uk/,https://www.metoffice.gov.uk/,
Redirected http://www.metoffice.gov.uk/hadobs/hadcrut4/ https://www.metoffice.gov.uk/hadobs/hadcrut4/,Redirected,http://www.metoffice.gov.uk/hadobs/hadcrut4/,https://www.metoffice.gov.uk/hadobs/hadcrut4/,
Redirected http://www.metoffice.gov.uk/hadobs/hadisd/ https://www.metoffice.gov.uk/hadobs/hadisd/,Redirected,http://www.metoffice.gov.uk/hadobs/hadisd/,https://www.metoffice.gov.uk/hadobs/hadisd/,
Redirected http://www.nceo.ac.uk https://www.nceo.ac.uk/,Redirected,http://www.nceo.ac.uk,https://www.nceo.ac.uk/,
Redirected http://www.neodc.rl.ac.uk https://archive.ceda.ac.uk/,Redirected,http://www.neodc.rl.ac.uk,https://archive.ceda.ac.uk/,
Redirected http://www.nerc.ac.uk https://www.ukri.org/councils/nerc/,Redirected,http://www.nerc.ac.uk,https://www.ukri.org/councils/nerc/,
Redirected http://www.sron.nl/index.php?option=com_content&task=view&id=191&Itemid=122 https://www.sron.nl/index.php?option=com_content&task=view&id=191&Itemid=122,Redirected,http://www.sron.nl/index.php?option=com_content&task=view&id=191&Itemid=122,https://www.sron.nl/index.php?option=com_content&task=view&id=191&Itemid=122,
Redirected http://www.statistics.gov.uk/downloads/theme_health/HSQ25.pdf https://webarchive.nationalarchives.gov.uk/ukgwa/20160105160709/http://www.ons.gov.uk/ons/downloads/theme_health/hsq25.pdf,Redirected,http://www.statistics.gov.uk/downloads/theme_health/HSQ25.pdf,https://webarchive.nationalarchives.gov.uk/ukgwa/20160105160709/http://www.ons.gov.uk/ons/downloads/theme_health/hsq25.pdf,
